age,gender,nationality,qualification,highSchoolGPA,university,selectionCriteria,consideredOthers,secondChoice,satisfaction,universityTags,learningStyle,populationPreference,campusSetting,costImportance,scholarship,living,major,careerGoal,internshipImportance,universityInternship,familyInfluence,friendInfluence,socialMediaInfluence,rankingInfluence
21,Prefer not to say,Other Asian,IB,3.13,NUS,"Job Placement Rate,Reputation,Tuition Fees",No,SMU,6,"Research Oriented,Comprehensive Programs",Hands-On,Small,Urban,6,Yes,Commute,Business Analytics,NGO/Non-profit,9,No,6,3,10,7
23,Female,Indonesian,IB,3.64,NUS,"Specific Course Offerings,Tuition Fees,Reputation",Yes,SMU,9,"Strong Alumni Network,Global Recognition",Lecture-Based,Medium,Urban,4,No,Commute,Arts and Social Sciences,Government,9,No,3,9,3,5
20,Male,Vietnamese,Polytechnic Diploma,3.87,NUS,"Job Placement Rate,Campus Facilities,Reputation",Yes,SMU,7,"Strong Alumni Network,Global Recognition",Hands-On,Large,Urban,6,Yes,On Campus,Arts and Social Sciences,Government,8,Yes,5,10,5,6
19,Male,Indian,Polytechnic Diploma,3.50,NUS,"Location,Job Placement Rate,Faculty Quality",Yes,NTU,8,"Research Oriented,Comprehensive Programs",Research-Driven,Small,Suburban,8,Yes,Commute,Business Analytics,Entrepreneur,7,Yes,9,7,2,6
23,Male,Malaysian,High School Diploma,3.97,NUS,"Job Placement Rate,Campus Facilities,Scholarships",Yes,NTU,9,"Research Oriented,Comprehensive Programs",Lecture-Based,Medium,Suburban,7,No,Commute,Engineering,Researcher,8,Yes,1,8,6,7
23,Male,Vietnamese,High School Diploma,3.09,NUS,"Reputation,Faculty Quality,Campus Facilities",Yes,SUSS,9,"Global Recognition,Strong Alumni Network",Research-Driven,Large,Suburban,4,No,Commute,Engineering,Researcher,9,No,8,3,2,8
22,Prefer not to say,Singaporean,A-Levels,3.03,NUS,"Scholarships,Tuition Fees,Location",Yes,SUTD,8,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Medium,Suburban,5,Yes,Commute,Medicine,Researcher,7,No,5,6,10,9
23,Prefer not to say,Indian,High School Diploma,3.18,NUS,"Location,Campus Facilities,Ranking",Yes,NTU,9,"Comprehensive Programs,Strong Alumni Network",Hands-On,Medium,Suburban,7,No,Commute,Arts and Social Sciences,Researcher,8,Yes,4,4,3,9
24,Other,Indonesian,High School Diploma,3.46,NUS,"Location,Faculty Quality,Specific Course Offerings",Yes,SMU,8,"Comprehensive Programs,Strong Alumni Network",Online/Hybrid,Small,Urban,4,No,Commute,Computer Science,Government,9,No,10,10,3,6
24,Male,Singaporean,IB,3.99,NUS,"Campus Facilities,Faculty Quality,Reputation",Yes,SUSS,9,"Comprehensive Programs,Global Recognition",Hands-On,Medium,Suburban,5,Yes,On Campus,Engineering,Government,7,No,9,2,4,7
19,Other,Other Asian,A-Levels,3.97,NUS,"Reputation,Location,Ranking",Yes,SUTD,7,"Strong Alumni Network,Global Recognition",Lecture-Based,Large,Suburban,9,No,On Campus,Arts and Social Sciences,Researcher,7,Yes,7,8,6,7
23,Female,Singaporean,High School Diploma,3.43,NUS,"Job Placement Rate,Ranking,Tuition Fees",Yes,SMU,7,"Comprehensive Programs,Strong Alumni Network",Hands-On,Medium,Suburban,4,Yes,On Campus,Business Analytics,Government,7,No,2,10,9,9
22,Female,Indonesian,A-Levels,3.71,NUS,"Ranking,Specific Course Offerings,Scholarships",Yes,SUTD,6,"Research Oriented,Comprehensive Programs",Lecture-Based,Large,Suburban,4,No,On Campus,Medicine,Researcher,8,No,10,5,10,7
20,Other,Singaporean,A-Levels,3.56,NUS,"Ranking,Tuition Fees,Specific Course Offerings",Yes,SUSS,9,"Research Oriented,Comprehensive Programs",Research-Driven,Medium,Suburban,1,No,Commute,Computer Science,Entrepreneur,8,Yes,4,4,1,7
19,Male,Other Asian,Polytechnic Diploma,3.43,NUS,"Reputation,Tuition Fees,Campus Facilities",Yes,NTU,9,"Global Recognition,Strong Alumni Network",Lecture-Based,Medium,Urban,10,No,Commute,Law,Researcher,8,No,4,4,8,5
21,Prefer not to say,Malaysian,A-Levels,3.75,NUS,"Location,Reputation,Tuition Fees",Yes,SMU,6,"Global Recognition,Comprehensive Programs",Research-Driven,Large,Suburban,8,No,On Campus,Computer Science,Industry Professional,8,No,3,8,3,6
20,Other,Indonesian,IB,3.82,NUS,"Scholarships,Specific Course Offerings,Reputation",Yes,SUTD,6,"Global Recognition,Comprehensive Programs",Research-Driven,Small,Urban,7,No,On Campus,Computer Science,Researcher,8,Yes,7,7,6,8
21,Other,Other Asian,IB,3.83,NUS,"Reputation,Specific Course Offerings,Scholarships",Yes,SUSS,7,"Global Recognition,Comprehensive Programs",Online/Hybrid,Medium,Suburban,9,No,On Campus,Computer Science,Government,7,Yes,1,10,4,5
20,Prefer not to say,Indonesian,A-Levels,3.17,NUS,"Job Placement Rate,Campus Facilities,Faculty Quality",Yes,SUSS,7,"Research Oriented,Comprehensive Programs",Lecture-Based,Small,Urban,7,Yes,Commute,Arts and Social Sciences,Industry Professional,7,Yes,9,10,4,5
23,Other,Chinese,IB,3.74,NUS,"Campus Facilities,Ranking,Tuition Fees",Yes,SUTD,8,"Research Oriented,Comprehensive Programs",Lecture-Based,Large,Urban,5,Yes,On Campus,Computer Science,NGO/Non-profit,9,Yes,1,1,8,5
23,Male,Vietnamese,IB,3.19,NUS,"Location,Faculty Quality,Specific Course Offerings",Yes,NTU,6,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Small,Suburban,7,Yes,Commute,Business Analytics,Entrepreneur,9,No,6,1,8,5
24,Male,Malaysian,Polytechnic Diploma,3.80,NUS,"Campus Facilities,Ranking,Tuition Fees",Yes,SUSS,6,"Strong Alumni Network,Global Recognition",Research-Driven,Small,Suburban,8,No,Commute,Medicine,Industry Professional,9,No,10,10,3,7
24,Prefer not to say,Indonesian,High School Diploma,3.14,NUS,"Tuition Fees,Scholarships,Job Placement Rate",Yes,SUTD,7,"Research Oriented,Strong Alumni Network",Research-Driven,Medium,Suburban,4,No,Commute,Law,Researcher,9,Yes,6,6,9,5
21,Other,Indian,Polytechnic Diploma,3.21,NUS,"Specific Course Offerings,Tuition Fees,Job Placement Rate",Yes,SUTD,9,"Research Oriented,Comprehensive Programs",Online/Hybrid,Medium,Urban,1,Yes,On Campus,Engineering,Industry Professional,7,Yes,9,7,9,5
19,Other,Vietnamese,High School Diploma,3.41,NUS,"Job Placement Rate,Reputation,Tuition Fees",No,SUTD,7,"Research Oriented,Comprehensive Programs",Online/Hybrid,Small,Suburban,2,Yes,Commute,Arts and Social Sciences,Researcher,9,Yes,4,6,5,9
23,Prefer not to say,Indonesian,High School Diploma,3.71,NUS,"Reputation,Ranking,Job Placement Rate",No,SUSS,9,"Global Recognition,Comprehensive Programs",Hands-On,Small,Suburban,4,No,Commute,Law,Entrepreneur,7,No,5,3,7,9
24,Female,Indonesian,Polytechnic Diploma,3.66,NUS,"Scholarships,Specific Course Offerings,Tuition Fees",Yes,NTU,8,"Global Recognition,Comprehensive Programs",Hands-On,Large,Urban,10,Yes,Commute,Business Analytics,Government,8,Yes,8,3,5,6
24,Female,Indian,High School Diploma,3.41,NUS,"Reputation,Ranking,Tuition Fees",Yes,SUSS,6,"Global Recognition,Comprehensive Programs",Online/Hybrid,Large,Suburban,10,No,Commute,Medicine,Researcher,9,No,8,7,6,7
23,Female,Chinese,IB,3.97,NUS,"Campus Facilities,Ranking,Specific Course Offerings",Yes,NTU,9,"Research Oriented,Strong Alumni Network",Hands-On,Small,Urban,2,No,On Campus,Medicine,Researcher,9,No,5,8,3,9
24,Prefer not to say,Malaysian,Polytechnic Diploma,3.82,NUS,"Reputation,Job Placement Rate,Scholarships",Yes,NTU,6,"Comprehensive Programs,Research Oriented",Online/Hybrid,Large,Urban,2,No,Commute,Business Analytics,NGO/Non-profit,8,Yes,4,7,2,6
20,Female,Vietnamese,A-Levels,3.03,NUS,"Reputation,Ranking,Job Placement Rate",Yes,SUSS,6,"Strong Alumni Network,Comprehensive Programs",Research-Driven,Large,Urban,5,No,On Campus,Computer Science,Government,9,No,6,7,3,5
21,Prefer not to say,Indonesian,High School Diploma,3.15,NUS,"Ranking,Tuition Fees,Scholarships",Yes,SMU,6,"Global Recognition,Strong Alumni Network",Online/Hybrid,Medium,Urban,5,No,Commute,Business Analytics,Entrepreneur,7,Yes,5,2,7,8
22,Male,Indonesian,IB,3.38,NUS,"Specific Course Offerings,Campus Facilities,Reputation",No,NTU,6,"Research Oriented,Comprehensive Programs",Online/Hybrid,Large,Urban,8,No,On Campus,Medicine,Researcher,9,No,4,8,8,5
21,Female,Singaporean,Polytechnic Diploma,3.85,NUS,"Reputation,Tuition Fees,Ranking",Yes,SUTD,7,"Global Recognition,Strong Alumni Network",Hands-On,Large,Suburban,9,No,Commute,Engineering,Industry Professional,9,Yes,10,8,1,5
19,Prefer not to say,Indian,High School Diploma,3.35,NUS,"Reputation,Tuition Fees,Location",Yes,SUSS,8,"Comprehensive Programs,Strong Alumni Network",Research-Driven,Large,Urban,5,Yes,Commute,Business Analytics,Entrepreneur,8,Yes,4,8,10,5
22,Other,Vietnamese,Polytechnic Diploma,3.95,NUS,"Job Placement Rate,Ranking,Reputation",Yes,SMU,8,"Comprehensive Programs,Global Recognition",Hands-On,Large,Urban,9,No,On Campus,Law,Industry Professional,8,No,8,9,6,7
19,Other,Indonesian,High School Diploma,3.63,NUS,"Campus Facilities,Location,Specific Course Offerings",Yes,SMU,6,"Comprehensive Programs,Global Recognition",Research-Driven,Large,Urban,2,No,Commute,Law,NGO/Non-profit,9,Yes,5,4,9,9
22,Prefer not to say,Indonesian,High School Diploma,3.80,NUS,"Campus Facilities,Reputation,Location",Yes,SUSS,7,"Comprehensive Programs,Global Recognition",Online/Hybrid,Medium,Suburban,4,No,On Campus,Medicine,NGO/Non-profit,9,Yes,4,2,10,5
20,Prefer not to say,Indian,A-Levels,3.26,NUS,"Ranking,Tuition Fees,Scholarships",Yes,SUSS,6,"Research Oriented,Comprehensive Programs",Online/Hybrid,Large,Suburban,3,Yes,Commute,Business Analytics,NGO/Non-profit,9,Yes,8,3,8,8
22,Male,Chinese,High School Diploma,3.94,NUS,"Ranking,Job Placement Rate,Campus Facilities",Yes,SUSS,6,"Comprehensive Programs,Research Oriented",Research-Driven,Small,Urban,8,Yes,Commute,Arts and Social Sciences,Researcher,7,No,4,4,8,7
19,Female,Vietnamese,A-Levels,3.08,NUS,"Reputation,Location,Faculty Quality",No,SUSS,8,"Comprehensive Programs,Research Oriented",Hands-On,Large,Suburban,3,Yes,Commute,Law,Government,8,No,9,10,4,7
21,Male,Indian,IB,3.45,NUS,"Location,Scholarships,Reputation",Yes,SMU,7,"Global Recognition,Research Oriented",Hands-On,Large,Suburban,9,Yes,Commute,Arts and Social Sciences,Researcher,9,No,8,6,2,9
22,Other,Chinese,Polytechnic Diploma,3.03,NUS,"Job Placement Rate,Specific Course Offerings,Ranking",Yes,NTU,6,"Strong Alumni Network,Comprehensive Programs",Research-Driven,Medium,Urban,10,No,Commute,Engineering,NGO/Non-profit,8,Yes,1,4,9,8
22,Male,Vietnamese,Polytechnic Diploma,3.46,NUS,"Reputation,Ranking,Job Placement Rate",Yes,NTU,8,"Strong Alumni Network,Comprehensive Programs",Online/Hybrid,Large,Urban,5,Yes,On Campus,Law,Entrepreneur,8,Yes,5,2,8,5
19,Prefer not to say,Malaysian,High School Diploma,3.43,NUS,"Location,Specific Course Offerings,Job Placement Rate",Yes,NTU,9,"Strong Alumni Network,Research Oriented",Hands-On,Medium,Suburban,3,No,Commute,Arts and Social Sciences,Entrepreneur,7,Yes,2,8,2,8
22,Prefer not to say,Malaysian,A-Levels,3.26,NUS,"Reputation,Scholarships,Specific Course Offerings",Yes,SMU,8,"Comprehensive Programs,Strong Alumni Network",Hands-On,Small,Urban,9,No,On Campus,Arts and Social Sciences,Industry Professional,9,Yes,5,8,3,8
19,Other,Indian,High School Diploma,3.85,NUS,"Tuition Fees,Specific Course Offerings,Ranking",Yes,SMU,6,"Global Recognition,Strong Alumni Network",Online/Hybrid,Small,Urban,6,No,Commute,Law,Industry Professional,9,No,7,9,9,6
23,Prefer not to say,Chinese,High School Diploma,3.80,NUS,"Ranking,Tuition Fees,Faculty Quality",Yes,SUSS,8,"Strong Alumni Network,Comprehensive Programs",Research-Driven,Large,Urban,9,No,Commute,Business Analytics,Government,8,Yes,7,6,10,6
19,Female,Indonesian,High School Diploma,3.68,NUS,"Ranking,Location,Tuition Fees",Yes,SMU,8,"Global Recognition,Strong Alumni Network",Research-Driven,Small,Suburban,10,No,Commute,Medicine,Government,7,Yes,1,2,4,5
19,Other,Singaporean,High School Diploma,3.50,NUS,"Faculty Quality,Specific Course Offerings,Ranking",Yes,SUSS,6,"Global Recognition,Strong Alumni Network",Hands-On,Large,Suburban,5,No,Commute,Business Analytics,Researcher,8,Yes,10,3,7,8
24,Male,Vietnamese,IB,3.58,NTU,"Job Placement Rate,Tuition Fees,Scholarships",Yes,SMU,9,"Smart Campus,Industry Connections",Research-Driven,Small,Suburban,2,No,Commute,Computer Science,Government,8,Yes,10,1,7,9
21,Other,Malaysian,Polytechnic Diploma,3.92,NTU,"Scholarships,Faculty Quality,Reputation",Yes,SMU,9,"Industry Connections,Smart Campus",Lecture-Based,Large,Suburban,10,No,On Campus,Computer Science,NGO/Non-profit,9,No,4,10,1,7
22,Male,Other Asian,IB,3.94,NTU,"Ranking,Tuition Fees,Job Placement Rate",Yes,NUS,9,"Industry Connections,Smart Campus",Hands-On,Small,Urban,1,No,Commute,Business,NGO/Non-profit,8,Yes,10,1,4,6
21,Prefer not to say,Indonesian,Polytechnic Diploma,3.00,NTU,"Specific Course Offerings,Ranking,Tuition Fees",Yes,SUSS,9,"Smart Campus,Industry Connections",Hands-On,Large,Urban,6,No,Commute,Engineering,Researcher,9,No,3,2,10,9
22,Female,Other Asian,A-Levels,3.80,NTU,"Campus Facilities,Specific Course Offerings,Location",Yes,SMU,7,"Sustainable Focus,Research Excellence",Hands-On,Large,Urban,9,Yes,On Campus,Business,Industry Professional,9,No,7,3,5,8
23,Other,Chinese,High School Diploma,3.71,NTU,"Ranking,Tuition Fees,Location",Yes,SUTD,9,"Sustainable Focus,Research Excellence",Lecture-Based,Large,Urban,8,No,Commute,Communications,NGO/Non-profit,9,Yes,10,4,9,7
20,Prefer not to say,Indian,IB,3.26,NTU,"Ranking,Faculty Quality,Tuition Fees",Yes,NUS,6,"Sustainable Focus,Research Excellence",Lecture-Based,Small,Urban,6,Yes,Commute,Engineering,NGO/Non-profit,8,No,4,10,2,6
24,Prefer not to say,Indian,A-Levels,3.94,NTU,"Specific Course Offerings,Reputation,Ranking",No,SMU,9,"Research Excellence,Sustainable Focus",Online/Hybrid,Medium,Urban,2,No,Commute,"Art, Design & Media",Industry Professional,9,Yes,2,5,3,7
23,Male,Indian,High School Diploma,3.89,NTU,"Campus Facilities,Reputation,Specific Course Offerings",Yes,SUSS,6,"Industry Connections,Sustainable Focus",Online/Hybrid,Large,Suburban,3,No,Commute,Science,Industry Professional,9,Yes,8,9,6,6
22,Other,Indonesian,A-Levels,3.17,NTU,"Campus Facilities,Tuition Fees,Reputation",No,SUTD,8,"Industry Connections,Research Excellence",Lecture-Based,Small,Suburban,9,No,Commute,Computer Science,Industry Professional,8,No,2,10,4,9
20,Male,Singaporean,A-Levels,3.05,NTU,"Ranking,Location,Job Placement Rate",No,SMU,9,"Industry Connections,Research Excellence",Lecture-Based,Small,Urban,4,No,On Campus,Science,Industry Professional,9,Yes,5,10,6,7
23,Female,Singaporean,High School Diploma,3.23,NTU,"Reputation,Scholarships,Specific Course Offerings",No,NUS,9,"Industry Connections,Research Excellence",Hands-On,Large,Urban,5,Yes,Commute,Computer Science,Industry Professional,7,Yes,1,10,6,9
24,Prefer not to say,Singaporean,High School Diploma,3.45,NTU,"Ranking,Tuition Fees,Scholarships",No,SMU,9,"Sustainable Focus,Research Excellence",Online/Hybrid,Large,Suburban,3,No,On Campus,Computer Science,Industry Professional,8,Yes,9,4,2,6
20,Prefer not to say,Chinese,High School Diploma,3.19,NTU,"Location,Job Placement Rate,Ranking",Yes,SUSS,6,"Industry Connections,Smart Campus",Lecture-Based,Large,Urban,8,No,On Campus,Science,Government,7,Yes,9,5,9,8
23,Prefer not to say,Malaysian,A-Levels,3.15,NTU,"Job Placement Rate,Campus Facilities,Tuition Fees",Yes,SUSS,7,"Industry Connections,Smart Campus",Hands-On,Large,Urban,5,No,Commute,"Art, Design & Media",Entrepreneur,7,No,10,10,5,7
20,Female,Singaporean,IB,3.09,NTU,"Campus Facilities,Location,Ranking",Yes,NUS,7,"Industry Connections,Sustainable Focus",Online/Hybrid,Medium,Urban,1,No,Commute,Science,NGO/Non-profit,8,No,6,4,1,8
19,Male,Other Asian,High School Diploma,3.33,NTU,"Campus Facilities,Ranking,Job Placement Rate",No,NUS,6,"Research Excellence,Industry Connections",Hands-On,Medium,Urban,10,No,Commute,Engineering,NGO/Non-profit,9,Yes,5,9,7,6
24,Prefer not to say,Vietnamese,High School Diploma,3.80,NTU,"Job Placement Rate,Ranking,Campus Facilities",Yes,SUTD,8,"Research Excellence,Industry Connections",Lecture-Based,Small,Suburban,5,Yes,On Campus,Computer Science,Researcher,9,No,8,9,1,9
21,Prefer not to say,Vietnamese,IB,3.16,NTU,"Specific Course Offerings,Faculty Quality,Job Placement Rate",Yes,SUTD,8,"Research Excellence,Industry Connections",Lecture-Based,Small,Suburban,5,No,Commute,Communications,Government,8,No,8,9,5,7
20,Other,Malaysian,A-Levels,3.81,NTU,"Tuition Fees,Specific Course Offerings,Ranking",Yes,SUSS,9,"Research Excellence,Industry Connections",Hands-On,Small,Suburban,10,No,On Campus,Engineering,NGO/Non-profit,8,No,5,5,8,6
19,Male,Malaysian,A-Levels,3.70,NTU,"Location,Job Placement Rate,Ranking",Yes,SUSS,9,"Sustainable Focus,Industry Connections",Hands-On,Small,Urban,10,Yes,Commute,Science,Industry Professional,7,Yes,2,1,9,7
21,Male,Vietnamese,Polytechnic Diploma,3.68,NTU,"Faculty Quality,Reputation,Scholarships",No,SMU,9,"Sustainable Focus,Research Excellence",Hands-On,Small,Suburban,1,No,Commute,"Art, Design & Media",NGO/Non-profit,8,No,6,4,1,6
20,Prefer not to say,Singaporean,High School Diploma,3.98,NTU,"Scholarships,Campus Facilities,Reputation",No,SUSS,9,"Industry Connections,Research Excellence",Hands-On,Large,Suburban,6,Yes,Commute,Science,NGO/Non-profit,9,No,10,10,2,7
22,Other,Chinese,High School Diploma,3.69,NTU,"Faculty Quality,Ranking,Location",No,SUSS,8,"Smart Campus,Sustainable Focus",Online/Hybrid,Large,Suburban,8,Yes,On Campus,Communications,Industry Professional,9,Yes,1,7,10,6
21,Male,Chinese,Polytechnic Diploma,3.91,NTU,"Reputation,Scholarships,Location",No,SUTD,7,"Smart Campus,Sustainable Focus",Research-Driven,Medium,Urban,2,No,Commute,Science,Researcher,8,No,1,10,7,5
23,Prefer not to say,Chinese,IB,3.06,NTU,"Scholarships,Specific Course Offerings,Job Placement Rate",Yes,SUSS,9,"Sustainable Focus,Research Excellence",Online/Hybrid,Small,Suburban,6,No,Commute,Computer Science,Government,9,No,1,8,9,9
22,Female,Indonesian,High School Diploma,3.21,NTU,"Job Placement Rate,Campus Facilities,Location",Yes,SUTD,7,"Industry Connections,Sustainable Focus",Online/Hybrid,Small,Suburban,10,No,Commute,Computer Science,Government,9,No,7,5,8,7
24,Prefer not to say,Indonesian,A-Levels,3.80,NTU,"Reputation,Ranking,Job Placement Rate",No,SUTD,8,"Smart Campus,Research Excellence",Online/Hybrid,Small,Urban,10,No,On Campus,Business,NGO/Non-profit,9,No,2,5,10,6
19,Other,Vietnamese,A-Levels,3.21,NTU,"Scholarships,Specific Course Offerings,Reputation",Yes,SUTD,6,"Smart Campus,Research Excellence",Online/Hybrid,Small,Suburban,4,No,On Campus,Engineering,Industry Professional,8,Yes,8,6,8,9
24,Female,Vietnamese,IB,3.15,NTU,"Ranking,Location,Job Placement Rate",Yes,SUSS,6,"Industry Connections,Sustainable Focus",Online/Hybrid,Large,Urban,9,Yes,Commute,Engineering,Researcher,8,No,10,9,9,7
24,Prefer not to say,Indonesian,IB,3.72,NTU,"Location,Reputation,Tuition Fees",Yes,NUS,7,"Industry Connections,Sustainable Focus",Lecture-Based,Large,Suburban,3,No,Commute,Business,Researcher,9,Yes,10,2,7,7
21,Other,Malaysian,IB,3.19,NTU,"Faculty Quality,Specific Course Offerings,Scholarships",No,SMU,8,"Research Excellence,Sustainable Focus",Lecture-Based,Medium,Urban,10,No,Commute,"Art, Design & Media",Government,7,Yes,10,2,1,8
