age,gender,student_status,university,satisfaction_rating,learning_style,preferred_population,cost_importance,has_scholarship,residence,culture_importance,school,plans_further_education,career_goal,internship_importance,internship_participation,family_influence,friend_influence,social_media_influence,ranking_influence,extracurricular_importance,personality,leadership_role,extracurricular_hours,extracurricular_type,cca_count,funding_source,scholarship_significance,selection_criteria_list,cca_list,satisfaction_group,financial_consideration,external_influence,engagement_level,engagement_category,career_for_analysis,cluster,cluster_name
25 - 30,Male,Domestic,NUS,3,hands-on,Medium,6,0,Commute,7,Engineering,0.5,Industry Professional,7,0,3,5,3,2,2,Introverted,1,4,Student Club,2,Family Support,7,"['Reputation', 'Location', 'Specific Course Offerings']","['Society of Mechanical Engineering', 'NUS Photographic Society']",Neutral,6.5,3.6666666666666665,8,Medium,Industry Professional,0,Cluster 0
25 - 30,Female,Domestic,NUS,4,hands-on,Small,6,0,Commute,2,Business,0.0,Industry Professional,10,0,1,1,1,10,2,Introverted,0,9,Sports,1,Family Support,5,"['Ranking', 'Reputation', 'Job Placement Rate']",['Cuesports'],Satisfied,5.5,1.0,9,Medium,Industry Professional,3,Career-Focused Prestige Seekers
25 - 30,Male,International,NTU,4,research-driven,Medium,8,0,Commute,6,Medicine,1.0,Researcher,6,0,4,3,2,5,1,Ambivert,0,0,,0,Student Loan,7,"['Reputation', 'Specific Course Offerings', 'Faculty Quality']",[],Satisfied,7.5,3.0,0,,Researcher,0,Cluster 0
25 - 30,Female,Domestic,SMU,4,lecture-based,Medium,9,0,Commute,8,Business,0.0,Industry Professional,8,0,8,6,6,9,3,Introverted,0,0,,1,Family Support,9,"['Ranking', 'Reputation', 'Location']",['SMU Operations Management Society'],Satisfied,9.0,6.666666666666667,0,,Industry Professional,1,Career-Focused Prestige Seekers
25 - 30,Female,Domestic,NTU,3,hands-on,Medium,8,0,On campus,4,Humanities,1.0,Industry Professional,8,1,1,1,1,6,1,Extroverted,1,4,Social Clubs,0,Family Support,9,"['Tuition Fees', 'Reputation', 'Faculty Quality']",[],Neutral,8.5,1.0,8,Medium,Industry Professional,0,Cluster 0
25 - 30,Male,Domestic,NUS,5,hands-on,Small,8,0,On campus,3,Engineering,0.5,Industry Professional,8,1,8,4,1,1,1,Introverted,1,12,Sports,4,Family Support,5,"['Tuition Fees', 'Location', 'Specific Course Offerings']","['Neighbourhood Committee', 'Dodgeball', 'Volunteering', '']",Satisfied,6.5,4.333333333333333,24,High,Industry Professional,2,Cluster 2
18 - 24,Male,Domestic,SMU,3,hands-on,Small,2,0,Commute,6,Computing/IT,0.0,Industry Professional,9,0,1,7,4,7,3,Introverted,0,0,,0,Student Loan,10,"['Reputation', 'Specific Course Offerings', 'Faculty Quality']",[],Neutral,6.0,4.0,0,,Industry Professional,1,Career-Focused Prestige Seekers
18 - 24,Male,International,NUS,5,hands-on,Small,8,1,On campus,8,Engineering,0.5,Entrepreneur,9,0,8,5,1,8,4,Ambivert,0,10,Internships,1,Scholarship,7,"['Reputation', 'Job Placement Rate', 'Alumni Network']",['Chemical Engineering Student Society'],Satisfied,7.5,4.666666666666667,10,Medium,Entrepreneur,2,Cluster 2
Under 18,Male,International,SMU,4,hands-on,Medium,9,1,Commute,1,Computing/IT,0.5,Entrepreneur,7,0,1,1,1,5,2,Ambivert,1,6,Arts,2,Scholarship,10,"['Scholarships', 'Specific Course Offerings', 'Faculty Quality']","['Volunteer Work', 'Choir Club']",Satisfied,9.5,1.0,12,Medium,Entrepreneur,3,Career-Focused Prestige Seekers
18 - 24,Male,International,NTU,4,hands-on,Medium,6,1,On campus,3,Computing/IT,0.5,Entrepreneur,10,1,8,7,2,8,2,Introverted,0,1,Internships,1,Scholarship,6,"['Ranking', 'Scholarships', 'Reputation']",['Logistics Subcommittee'],Satisfied,6.0,5.666666666666667,1,Low,Entrepreneur,1,Career-Focused Prestige Seekers
18 - 24,Male,International,NTU,4,hands-on,Medium,8,0,On campus,2,Engineering,0.0,Industry Professional,9,0,5,6,6,10,1,Ambivert,1,3,Social Clubs,1,Family Support,8,"['Ranking', 'Tuition Fees', 'Job Placement Rate']",['Dharma Camp'],Satisfied,8.0,5.666666666666667,6,Medium,Industry Professional,1,Career-Focused Prestige Seekers
18 - 24,Male,International,SIM,3,hands-on,Small,4,0,Commute,1,Computing/IT,0.5,Industry Professional,7,0,5,3,1,5,3,Introverted,0,6,Sports,1,Family Support,6,"['Reputation', 'Location', 'Specific Course Offerings']",['Muay Thai'],Neutral,5.0,3.0,6,Medium,Industry Professional,3,Career-Focused Prestige Seekers
18 - 24,Female,International,SMU,4,hands-on,Small,8,0,Commute,6,Computing/IT,0.5,Industry Professional,7,0,1,5,7,8,1,Introverted,1,4,Social Clubs,1,Family Support,6,"['Reputation', 'Job Placement Rate', 'Peer Influence']",['Event Planning'],Satisfied,7.0,4.333333333333333,8,Medium,Industry Professional,1,Career-Focused Prestige Seekers
18 - 24,Female,International,SMU,5,hands-on,Small,5,0,On campus,8,Computing/IT,0.5,Industry Professional,8,0,5,1,1,7,8,Introverted,1,6,Social Clubs,1,Family Support,3,"['Reputation', 'Campus Facilities', 'Job Placement Rate']",['Cultural Club'],Satisfied,4.0,2.333333333333333,12,Medium,Industry Professional,3,Career-Focused Prestige Seekers
18 - 24,Female,International,NTU,4,lecture-based,Small,8,1,On campus,5,Engineering,0.5,Industry Professional,8,0,9,6,5,7,3,Ambivert,1,15,Social Clubs,3,Scholarship,10,"['Ranking', 'Scholarships', 'Quality of Life']","['PINTU', 'Hall Council', 'NTU Buddhist Society']",Satisfied,9.0,6.666666666666667,30,High,Industry Professional,2,Cluster 2
18 - 24,Female,International,SMU,4,hands-on,Medium,8,1,Commute,9,Computing/IT,0.5,Industry Professional,10,1,8,3,5,6,7,Ambivert,1,4,Internships,1,Scholarship,8,"['Scholarships', 'Specific Course Offerings', 'Teaching Style']",['Computing Student Council'],Satisfied,8.0,5.333333333333333,8,Medium,Industry Professional,2,Cluster 2
18 - 24,Male,International,SMU,1,online/hybrid,Small,10,1,Commute,8,Computing/IT,0.0,Industry Professional,10,0,10,1,1,4,1,Ambivert,0,0,Personal,1,Scholarship,3,"['Tuition Fees', 'Scholarships', 'Job Placement Rate']",['Nil'],Dissatisfied,6.5,4.0,0,,Industry Professional,0,Cluster 0
18 - 24,Female,Domestic,SMU,4,online/hybrid,Small,10,1,Commute,4,Computing/IT,1.0,Industry Professional,10,0,1,7,4,1,2,Introverted,0,3,Internships,1,Scholarship,10,"['Scholarships', 'Job Placement Rate', 'Future opportunity/development potential']",['Community Service (for school graduation requirements)'],Satisfied,10.0,4.0,3,Low,Industry Professional,2,Cluster 2
18 - 24,Male,International,SMU,4,hands-on,Medium,10,0,Commute,8,Computing/IT,0.5,Industry Professional,10,0,10,7,5,5,6,Ambivert,1,5,Volunteering,2,Family Support,10,"['Reputation', 'Job Placement Rate', 'Alumni Network']","['Orchestra', 'Peer-to-peer Tutoring Club']",Satisfied,10.0,7.333333333333333,10,Medium,Industry Professional,2,Cluster 2
18 - 24,Female,International,SMU,5,lecture-based,Medium,9,1,Commute,8,Accountancy,0.5,Entrepreneur,8,0,3,1,6,5,7,Introverted,0,5,Social Clubs,2,Scholarship,9,"['Tuition Fees', 'Scholarships', 'Job Placement Rate']","['Board game club', 'community service project']",Satisfied,9.0,3.333333333333333,5,Low,Entrepreneur,2,Cluster 2
18 - 24,Female,International,SMU,4,hands-on,Small,8,1,Commute,6,Computing/IT,0.0,Industry Professional,10,1,10,2,3,8,2,Introverted,1,10,Internships,2,Scholarship,9,"['Campus Facilities', 'Location', 'Job Placement Rate']","['Part-Time Internship', 'Coders Assembly']",Satisfied,8.5,5.0,20,High,Industry Professional,2,Cluster 2
18 - 24,Female,International,SMU,4,hands-on,Small,8,0,On campus,8,"Social Sciences (Psychology, Political Science, Sociology)",0.5,Industry Professional,9,0,10,5,5,6,8,Introverted,1,5,Internships,3,Family Support,8,"['Tuition Fees', 'Location', 'Job Placement Rate']","['Community cultural club', 'sports club', 'volunteer csp']",Satisfied,8.0,6.666666666666667,10,Medium,Industry Professional,2,Cluster 2
18 - 24,Male,International,SMU,4,hands-on,Small,10,1,Commute,10,Computing/IT,0.5,Industry Professional,10,0,4,1,6,7,5,Ambivert,0,1,Social Clubs,1,Scholarship,10,"['Scholarships', 'Reputation', 'Specific Course Offerings']",['SMUKI'],Satisfied,10.0,3.6666666666666665,1,Low,Industry Professional,2,Cluster 2
18 - 24,Male,International,SMU,4,online/hybrid,Medium,9,0,Commute,8,Computing/IT,0.5,Industry Professional,10,1,5,5,5,8,7,Introverted,0,2,Sports,0,Family Support,2,"['Ranking', 'Tuition Fees', 'Reputation']",[],Satisfied,5.5,5.0,2,Low,Industry Professional,1,Career-Focused Prestige Seekers
18 - 24,Male,International,SMU,4,lecture-based,Medium,7,0,On campus,8,Business,0.5,Entrepreneur,8,0,10,1,2,4,1,Introverted,0,2,Social Clubs,1,Family Support,5,"['Ranking', 'Location', 'Job Placement Rate']",['ICON'],Satisfied,6.0,4.333333333333333,2,Low,Entrepreneur,0,Cluster 0
18 - 24,Male,International,SMU,5,lecture-based,Small,7,0,Commute,9,Business,0.5,Entrepreneur,8,0,7,7,5,8,5,Ambivert,0,0,,0,Family Support,5,"['Ranking', 'Reputation', 'Peer Influence']",[],Satisfied,6.0,6.333333333333333,0,,Entrepreneur,1,Career-Focused Prestige Seekers
18 - 24,Female,Domestic,SMU,4,hands-on,Large,9,0,Commute,4,Business,0.5,Industry Professional,10,0,3,7,6,8,3,Introverted,0,0,,0,Family Support,10,"['Reputation', 'Location', 'Job Placement Rate']",[],Satisfied,9.5,5.333333333333333,0,,Industry Professional,1,Career-Focused Prestige Seekers
18 - 24,Male,Domestic,SIT,4,lecture-based,Medium,8,0,Commute,9,Computing/IT,0.5,Jack of all trades,8,0,7,7,8,8,10,Ambivert,0,0,Arts,1,Bursaries,9,"['Tuition Fees', 'Reputation', 'Specific Course Offerings']",['Event-based clubs'],Satisfied,8.5,7.333333333333333,0,,Other,1,Career-Focused Prestige Seekers
18 - 24,Male,Domestic,SIT,5,hands-on,Small,1,0,Commute,1,Engineering,0.5,Industry Professional,10,1,1,1,1,1,1,Introverted,1,3,Volunteering,1,Financial aid,10,"['Job Placement Rate', 'Specific Course Offerings', ""It's the only course that specifically get me a degree and license""]",['Volunteer work'],Satisfied,5.5,1.0,6,Medium,Industry Professional,3,Career-Focused Prestige Seekers
18 - 24,Female,Domestic,SIT,3,hands-on,Medium,5,0,Commute,8,Computing/IT,0.0,Government,10,0,1,1,8,10,1,Introverted,0,2,Volunteering,1,Government Subsidies,1,"['Job Placement Rate', 'Specific Course Offerings', 'Peer Influence']",['Volunteer Work'],Neutral,3.0,3.333333333333333,2,Low,Other,3,Career-Focused Prestige Seekers
18 - 24,Female,International,SIT,4,hands-on,Medium,7,0,Commute,7,Computing/IT,0.5,Researcher,7,0,8,3,8,1,8,Ambivert,0,2,Arts,1,Family Support,9,"['Campus Facilities', 'Location', 'Peer Influence']",['Japanese Club'],Satisfied,8.0,6.333333333333333,2,Low,Researcher,1,Career-Focused Prestige Seekers
25 - 30,Male,Domestic,SIT,2,online/hybrid,Medium,8,0,Commute,5,Computing/IT,0.5,Industry Professional,8,1,1,1,1,1,6,Introverted,0,0,Internships,0,Family Support,7,"['Scholarships', 'Specific Course Offerings', 'The fact that my not very good grades can get me in']",[],Dissatisfied,7.5,1.0,0,,Industry Professional,0,Cluster 0
18 - 24,Female,International,SMU,3,lecture-based,Medium,6,0,Commute,8,Business,1.0,Industry Professional,6,0,8,8,6,10,4,Introverted,0,2,Sports,1,Family Support,6,"['Ranking', 'Reputation', 'Location']",['Cuesports'],Neutral,6.0,7.333333333333333,2,Low,Industry Professional,1,Career-Focused Prestige Seekers
